Census Tract,State,County,Urban,2010 Population,Housing Units,Low Income,Poverty Rate,Median Family Income,Food desert distance,Is there a food desert at this distance?
48453000101,Texas,Travis,1,3611,1815,0,8,109429,Food Desert at 1 & 10 miles,0
48453000102,Texas,Travis,1,2552,1081,0,3.6,195592,Food Desert at 1 & 10 miles,0
48453000203,Texas,Travis,1,1546,735,1,30.3,84167,Food Desert at 1 & 10 miles,0
48453000204,Texas,Travis,1,3009,1596,1,20.6999999999999,106250,Food Desert at 1 & 10 miles,0
48453000205,Texas,Travis,1,3394,1996,0,15.1,101196,Food Desert at 1 & 10 miles,0
48453000206,Texas,Travis,1,2687,1442,0,11.1,118906,Food Desert at 1 & 10 miles,0
48453000302,Texas,Travis,1,4939,2869,1,26,94440,Food Desert at 1 & 10 miles,0
48453000304,Texas,Travis,1,3045,1537,1,28.3,91250,Food Desert at 1 & 10 miles,0
48453000305,Texas,Travis,1,3223,1777,1,23.1999999999999,97992,Food Desert at 1 & 10 miles,1
48453000306,Texas,Travis,1,2697,1188,0,17.1,90000,Food Desert at 1 & 10 miles,0
48453000307,Texas,Travis,1,1707,771,1,25.5,75260,Food Desert at 1 & 10 miles,0
48453000401,Texas,Travis,1,3574,1730,1,25.1,110357,Food Desert at 1 & 10 miles,0
48453000402,Texas,Travis,1,2606,1267,1,19.3999999999999,52019,Food Desert at 1 & 10 miles,0
48453000500,Texas,Travis,1,4518,2540,1,38.7999999999999,71974,Food Desert at 1 & 10 miles,0
48453000601,Texas,Travis,1,9207,433,1,74.0999999999999,14777,Food Desert at 1 & 10 miles,1
48453000603,Texas,Travis,1,7793,3236,1,84.5,10929,Food Desert at 1 & 10 miles,0
48453000604,Texas,Travis,1,6496,2164,1,81.5,7083,Food Desert at 1 & 10 miles,0
48453000700,Texas,Travis,1,1339,717,0,17.8999999999999,118750,Food Desert at 1 & 10 miles,0
48453000801,Texas,Travis,1,1498,550,1,19.3,44531,Food Desert at 1 & 10 miles,0
48453000802,Texas,Travis,1,3067,1122,1,48.5,24125,Food Desert at 1 & 10 miles,0
48453000803,Texas,Travis,1,2429,975,1,16,58594,Food Desert at 1 & 10 miles,0
48453000804,Texas,Travis,1,2295,909,1,43.2,30625,Food Desert at 1 & 10 miles,1
48453000901,Texas,Travis,1,2027,791,1,20.1,44773,Food Desert at 1 & 10 miles,1
48453000902,Texas,Travis,1,5413,1926,1,30.1999999999999,36148,Food Desert at 1 & 10 miles,0
48453001000,Texas,Travis,1,3656,1501,1,22.5,47250,Food Desert at 1 & 10 miles,1
48453001100,Texas,Travis,1,5512,3113,0,13.6,250000,Food Desert at 1 & 10 miles,0
48453001200,Texas,Travis,1,3836,2426,0,8.69999999999999,104120,Food Desert at 1 & 10 miles,0
48453001303,Texas,Travis,1,2871,1611,0,11.1,108589,Food Desert at 1 & 10 miles,0
48453001304,Texas,Travis,1,3614,1910,0,8.6,97500,Food Desert at 1 & 10 miles,0
48453001305,Texas,Travis,1,5488,2685,1,23.3,75385,Food Desert at 1 & 10 miles,0
48453001307,Texas,Travis,1,3512,1745,1,25.8,60521,Food Desert at 1 & 10 miles,0
48453001308,Texas,Travis,1,2670,1273,1,18.1999999999999,56625,Food Desert at 1 & 10 miles,0
48453001401,Texas,Travis,1,2981,1733,0,11.8,107171,Food Desert at 1 & 10 miles,0
48453001402,Texas,Travis,1,2499,1317,0,12.3,91719,Food Desert at 1 & 10 miles,0
48453001403,Texas,Travis,1,1490,720,1,15.1999999999999,56645,Food Desert at 1 & 10 miles,0
48453001501,Texas,Travis,1,4787,2199,0,5.7,121803,Food Desert at 1 & 10 miles,0
48453001503,Texas,Travis,1,3875,1754,0,18.8,61919,Food Desert at 1 & 10 miles,0
48453001504,Texas,Travis,1,3925,1945,0,7,80640,Food Desert at 1 & 10 miles,0
48453001505,Texas,Travis,1,4061,2117,0,18.8,86280,Food Desert at 1 & 10 miles,0
48453001602,Texas,Travis,1,3301,1641,1,13.1999999999999,55882,Food Desert at 1 & 10 miles,0
48453001603,Texas,Travis,1,4405,1778,0,2.7,138710,Food Desert at 1 & 10 miles,0
48453001604,Texas,Travis,1,3984,1658,0,3.6,198043,Food Desert at 1 & 10 miles,0
48453001605,Texas,Travis,1,3743,1940,0,11.6,141042,Food Desert at 1 & 10 miles,0
48453001606,Texas,Travis,1,383,0,1,70.2,0,Food Desert at 1 & 10 miles,0
48453001705,Texas,Travis,1,4662,2147,0,2.8,138952,Food Desert at 1 & 10 miles,0
48453001706,Texas,Travis,1,3321,1743,0,4.7,114478,Food Desert at 1 & 10 miles,0
48453001707,Texas,Travis,1,4305,2269,0,9.5,101917,Food Desert at 1 & 10 miles,0
48453001712,Texas,Travis,1,4008,1856,1,13.6999999999999,61574,Food Desert at 1 & 10 miles,0
48453001713,Texas,Travis,1,3986,1763,1,15.9,60833,Food Desert at 1 & 10 miles,0
48453001714,Texas,Travis,1,13159,5397,0,7.5,114643,Food Desert at 1 & 10 miles,0
48453001716,Texas,Travis,1,5039,2353,0,5.1,132083,Food Desert at 1 & 10 miles,0
48453001718,Texas,Travis,1,5442,2800,0,7.7,117417,Food Desert at 1 & 10 miles,0
48453001719,Texas,Travis,1,3793,1602,0,3.4,156531,Food Desert at 1 & 10 miles,0
48453001722,Texas,Travis,1,3592,2297,0,5.8,64931,Food Desert at 1 & 10 miles,0
48453001728,Texas,Travis,1,6952,2888,0,7.2,77696,Food Desert at 1 & 10 miles,0
48453001729,Texas,Travis,1,4607,2066,0,5.8,77131,Food Desert at 1 & 10 miles,0
48453001733,Texas,Travis,0,3268,1227,0,5.2,123750,Food Desert at 1 & 10 miles,0
48453001737,Texas,Travis,1,10039,3819,0,2.4,121165,Food Desert at 1 & 10 miles,0
48453001738,Texas,Travis,1,6647,2679,0,4.8,111723,Food Desert at 1 & 10 miles,0
48453001740,Texas,Travis,1,4114,1688,0,7,95806,Food Desert at 1 & 10 miles,0
48453001741,Texas,Travis,1,3645,1620,0,6.4,105595,Food Desert at 1 & 10 miles,0
48453001742,Texas,Travis,0,5453,2053,0,18.3999999999999,89853,Food Desert at 1 & 10 miles,0
48453001745,Texas,Travis,1,2322,1008,0,8.8,93611,Food Desert at 1 & 10 miles,0
48453001746,Texas,Travis,1,3916,1662,0,7.4,74722,Food Desert at 1 & 10 miles,0
48453001747,Texas,Travis,1,5105,1989,0,16.5,70281,Food Desert at 1 & 10 miles,0
48453001748,Texas,Travis,1,5492,2268,0,9.69999999999999,81700,Food Desert at 1 & 10 miles,0
48453001749,Texas,Travis,1,5989,2913,0,7.8,85096,Food Desert at 1 & 10 miles,0
48453001750,Texas,Travis,1,4947,2542,0,13.9,87847,Food Desert at 1 & 10 miles,0
48453001751,Texas,Travis,1,2065,930,0,3.5,128942,Food Desert at 1 & 10 miles,0
48453001752,Texas,Travis,1,3583,2307,1,31.5,35571,Food Desert at 1 & 10 miles,0
48453001753,Texas,Travis,1,1121,748,0,10.8,66250,Food Desert at 1 & 10 miles,0
48453001754,Texas,Travis,1,4599,2271,0,7.4,97778,Food Desert at 1 & 10 miles,0
48453001755,Texas,Travis,1,5769,1954,0,1.9,187222,Food Desert at 1 & 10 miles,0
48453001756,Texas,Travis,1,3997,1694,0,3.1,104306,Food Desert at 1 & 10 miles,0
48453001757,Texas,Travis,1,1934,889,0,4.9,145368,Food Desert at 1 & 10 miles,0
48453001760,Texas,Travis,1,14256,4631,0,2.3,133521,Food Desert at 1 & 10 miles,0
48453001761,Texas,Travis,1,7022,2976,0,6.2,155724,Food Desert at 1 & 10 miles,0
48453001764,Texas,Travis,0,5789,2396,0,5.5,114805,Food Desert at 1 & 10 miles,0
48453001765,Texas,Travis,1,12976,4572,0,4.5,134773,Food Desert at 1 & 10 miles,0
48453001766,Texas,Travis,0,6767,2540,0,11.4,69504,Food Desert at 1 & 10 miles,0
48453001768,Texas,Travis,0,5656,2199,0,4.2,112171,Food Desert at 1 & 10 miles,0
48453001769,Texas,Travis,1,5374,2137,0,5.8,85652,Food Desert at 1 & 10 miles,0
48453001770,Texas,Travis,1,11417,3629,0,1.5,136809,Food Desert at 1 & 10 miles,0
48453001771,Texas,Travis,1,4229,1745,0,3.9,126250,Food Desert at 1 & 10 miles,0
48453001772,Texas,Travis,1,3095,1161,0,7.3,80417,Food Desert at 1 & 10 miles,0
48453001773,Texas,Travis,1,5387,2114,0,4.7,146845,Food Desert at 1 & 10 miles,0
48453001774,Texas,Travis,1,8161,2795,0,3.1,99107,Food Desert at 1 & 10 miles,0
48453001775,Texas,Travis,0,4973,1597,0,1.1,136042,Food Desert at 1 & 10 miles,0
48453001776,Texas,Travis,1,2803,1141,0,8,81618,Food Desert at 1 & 10 miles,0
48453001777,Texas,Travis,1,5535,2327,0,6.9,91926,Food Desert at 1 & 10 miles,0
48453001778,Texas,Travis,1,3909,1660,0,9,115132,Food Desert at 1 & 10 miles,0
48453001779,Texas,Travis,1,5715,2397,0,6.1,85448,Food Desert at 1 & 10 miles,0
48453001780,Texas,Travis,0,3825,1664,0,8.19999999999999,80795,Food Desert at 1 & 10 miles,0
48453001781,Texas,Travis,1,2251,928,0,5.4,130104,Food Desert at 1 & 10 miles,0
48453001782,Texas,Travis,1,4955,1740,0,12.3,122284,Food Desert at 1 & 10 miles,0
48453001783,Texas,Travis,1,5180,1881,0,4,126107,Food Desert at 1 & 10 miles,0
48453001784,Texas,Travis,1,5552,1804,0,3,161607,Food Desert at 1 & 10 miles,0
48453001785,Texas,Travis,1,4025,2153,0,6.5,66545,Food Desert at 1 & 10 miles,0
48453001786,Texas,Travis,1,4676,2600,0,7.5,73005,Food Desert at 1 & 10 miles,0
48453001804,Texas,Travis,1,6362,2388,1,35.2999999999999,33119,Food Desert at 1 & 10 miles,1
48453001805,Texas,Travis,1,4750,1659,1,34,28538,Food Desert at 1 & 10 miles,0
48453001806,Texas,Travis,1,5550,2060,1,32.7,24866,Food Desert at 1 & 10 miles,0
