CensusTract,Urban,LowIncomeTracts,POP2010,PovertyRate,MedianFamilyIncome,Limited_Access,Limited_Income_Limited_Access
48453000101,Yes,No,3611,8,109429,Between half and one mile,Good access
48453000102,Yes,No,2552,3.6,195592,More than one mile,Good access
48453000203,Yes,Yes,1546,30.3,84167,Between half and one mile,Between 1/2 and 1 mile
48453000204,Yes,Yes,3009,20.6999999999999,106250,Between half and one mile,Between 1/2 and 1 mile
48453000205,Yes,No,3394,15.1,101196,Between half and one mile,Good access
48453000206,Yes,No,2687,11.1,118906,Between half and one mile,Good access
48453000302,Yes,Yes,4939,26,94440,Between half and one mile,Between 1/2 and 1 mile
48453000304,Yes,Yes,3045,28.3,91250,Between half and one mile,Between 1/2 and 1 mile
48453000305,Yes,Yes,3223,23.1999999999999,97992,More than one mile,More than 1 mile
48453000306,Yes,No,2697,17.1,90000,Between half and one mile,Good access
48453000307,Yes,Yes,1707,25.5,75260,Between half and one mile,Between 1/2 and 1 mile
48453000401,Yes,Yes,3574,25.1,110357,Between half and one mile,Between 1/2 and 1 mile
48453000402,Yes,Yes,2606,19.3999999999999,52019,Good access,Good access
48453000500,Yes,Yes,4518,38.7999999999999,71974,Between half and one mile,Between 1/2 and 1 mile
48453000601,Yes,Yes,9207,74.0999999999999,14777,More than one mile,More than 1 mile
48453000603,Yes,Yes,7793,84.5,10929,Between half and one mile,Between 1/2 and 1 mile
48453000604,Yes,Yes,6496,81.5,7083,Between half and one mile,Between 1/2 and 1 mile
48453000700,Yes,No,1339,17.8999999999999,118750,Between half and one mile,Good access
48453000801,Yes,Yes,1498,19.3,44531,Between half and one mile,Between 1/2 and 1 mile
48453000802,Yes,Yes,3067,48.5,24125,Between half and one mile,Between 1/2 and 1 mile
48453000803,Yes,Yes,2429,16,58594,Between half and one mile,Between 1/2 and 1 mile
48453000804,Yes,Yes,2295,43.2,30625,More than one mile,More than 1 mile
48453000901,Yes,Yes,2027,20.1,44773,More than one mile,More than 1 mile
48453000902,Yes,Yes,5413,30.1999999999999,36148,Between half and one mile,Between 1/2 and 1 mile
48453001000,Yes,Yes,3656,22.5,47250,More than one mile,More than 1 mile
48453001100,Yes,No,5512,13.6,250000,Between half and one mile,Good access
48453001200,Yes,No,3836,8.69999999999999,104120,Good access,Good access
48453001303,Yes,No,2871,11.1,108589,More than one mile,Good access
48453001304,Yes,No,3614,8.6,97500,More than one mile,Good access
48453001305,Yes,Yes,5488,23.3,75385,Between half and one mile,Between 1/2 and 1 mile
48453001307,Yes,Yes,3512,25.8,60521,Between half and one mile,Between 1/2 and 1 mile
48453001308,Yes,Yes,2670,18.1999999999999,56625,Between half and one mile,Between 1/2 and 1 mile
48453001401,Yes,No,2981,11.8,107171,Between half and one mile,Good access
48453001402,Yes,No,2499,12.3,91719,Between half and one mile,Good access
48453001403,Yes,Yes,1490,15.1999999999999,56645,Between half and one mile,Between 1/2 and 1 mile
48453001501,Yes,No,4787,5.7,121803,Between half and one mile,Good access
48453001503,Yes,No,3875,18.8,61919,More than one mile,Good access
48453001504,Yes,No,3925,7,80640,Between half and one mile,Good access
48453001505,Yes,No,4061,18.8,86280,Between half and one mile,Good access
48453001602,Yes,Yes,3301,13.1999999999999,55882,Between half and one mile,Between 1/2 and 1 mile
48453001603,Yes,No,4405,2.7,138710,Between half and one mile,Good access
48453001604,Yes,No,3984,3.6,198043,Between half and one mile,Good access
48453001605,Yes,No,3743,11.6,141042,Between half and one mile,Good access
48453001606,Yes,Yes,383,70.2,0,Good access,Good access
48453001705,Yes,No,4662,2.8,138952,More than one mile,Good access
48453001706,Yes,No,3321,4.7,114478,Between half and one mile,Good access
48453001707,Yes,No,4305,9.5,101917,Between half and one mile,Good access
48453001712,Yes,Yes,4008,13.6999999999999,61574,Between half and one mile,Between 1/2 and 1 mile
48453001713,Yes,Yes,3986,15.9,60833,Between half and one mile,Between 1/2 and 1 mile
48453001714,Yes,No,13159,7.5,114643,More than one mile,Good access
48453001716,Yes,No,5039,5.1,132083,More than one mile,Good access
48453001718,Yes,No,5442,7.7,117417,Between half and one mile,Good access
48453001719,Yes,No,3793,3.4,156531,More than one mile,Good access
48453001722,Yes,No,3592,5.8,64931,Between half and one mile,Good access
48453001728,Yes,No,6952,7.2,77696,More than one mile,Good access
