CensusTract,State,County,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
48453000101,Texas,Travis,True,3611,1815,False,77,0.0213237,False,False,False,False,True,False,8,109429,False,True,False,True,False,False,False,True,0,2164.49771856085,0,0,414.256329914176,0,2164.49771856085,0.599417811841833,414.256329914176,0.114720667381384,302.074593242286,0.083653999790165,517.620109651077,0.143345364068424,2001.04628760693,0.554152945889487,22.4445832076016,0.006215614291776,58.0078891845041,0.016064217442399,3.13433180749416,0.000867995515783,3.0000000486325,0.000830794807154,76.8646293911006,0.021286244638909,173.919538696383,0.048163815756406,119.453241803392,0.06581445829388,32.1760678484806,0.017727861073543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,594,636,3334,40,89,4,5,139,276,185,53
48453000102,Texas,Travis,True,2552,1081,False,18,0.0070533,False,False,False,False,False,False,3.6,195592,True,True,True,True,True,False,False,False,527.680112056434,1842.8215586245,527.680112056434,31.9437102966476,110.120009982842,31.9437102966476,1842.8215586245,0.722108761216499,110.120009982842,0.043150474131208,407.343251083046,0.159617261396178,367.57028536871,0.144032243483037,1765.46514396369,0.69179668650615,7.99981237505562,0.003134722717498,32.491075759055,0.01273161275825,0,0,2.85913889971561,0.001120352233431,34.006403400097,0.013325393181856,102.610664724372,0.040207940722716,12.9285634817351,0.011959818206971,0,0,527.680112056434,0.206771203783869,31.9437102966476,0.012517127859188,128.293101714923,0.050271591581083,100.509686611592,0.039384673437145,512.139097891747,0.200681464691124,0.276495290920138,0.000108344549734,9.45710237044841,0.003705761116947,0,0,1.44021215918473,0.000564346457361,4.3672084249556,0.001711288567773,23.7422951459884,0.009303407188867,3.65575361638912,0.00338182573209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,567,487,2442,23,41,1,3,42,150,19,0
48453000203,Texas,Travis,True,1546,735,False,281,0.1817594,False,True,False,False,False,True,30.3,84167,False,True,False,True,False,False,False,False,0,610.196199119091,0,0,246.385769929736,0,610.196199119091,0.394693531124897,246.385769929736,0.159369838246919,30.7582151219248,0.019895352601504,8.52985564991831,0.005517371054281,511.923983901739,0.331128062032173,23.4768783580511,0.015185561680499,50.6914698248729,0.032788790313631,0.312437386251986,0.000202094040266,0.601579959038645,0.000389120283984,23.1898452024906,0.014999899872245,93.29912699759,0.060348723801805,17.3667681536171,0.023628255991316,6.77727544505614,0.009220782918444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598,54,39,1237,89,140,3,3,74,213,41,16
48453000204,Texas,Travis,True,3009,1596,False,56,0.0186108,False,True,False,False,False,True,20.6999999999999,106250,False,True,False,True,False,False,False,False,0,729.925074107828,0,0,97.6672398094378,0,729.925074107828,0.242580616187381,97.6672398094378,0.03245837148868,168.505617510498,0.056000537557494,47.4987287037038,0.015785552909174,671.153963074029,0.22304884116784,6.44078413024544,0.002140506523844,21.9804262630495,0.007304894072133,0,0,1,0.00033233632436,29.3498890362534,0.00975403424269,72.4810016006231,0.024088069657901,20.5708830261046,0.012889024452447,8.71791828536879,0.005462354815394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941,389,153,2639,47,161,0,7,155,323,124,45
48453000205,Texas,Travis,True,3394,1996,False,0,0,False,False,False,False,True,False,15.1,101196,False,True,False,True,False,False,False,True,1.97361707687377,2044.55297418683,1.97361707687377,0.707597851753235,637.980603208765,0.707597851753235,2044.55297418683,0.60240217271268,637.980603208765,0.187973071069171,196.040453516878,0.057760887895368,103.27620514715,0.030429052783486,1621.50903842598,0.477757524580431,69.656108548399,0.020523308352504,123.836272489279,0.036486821593777,1.99999993114033,0.000589275171226,12.586649805773,0.003708500237411,214.96491782274,0.06333674655944,460.357467612251,0.135638617446155,128.897249011322,0.064577780065793,59.9599064092617,0.030040033271173,1.97361707687377,0.000581501790475,0.707597851753235,0.000208484929804,0.341587573289871,0.000100644541335,0,0,1.74589204788208,0.00051440543544,0,0,0.11386252194643,0.000033548179713,0,0,0,0,0.11386252194643,0.000033548179713,0.11386252194643,0.000033548179713,0.138112261891365,0.000069194519986,0.059947364032269,0.000030033749515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,340,174,2758,112,160,2,29,333,676,201,100
48453000206,Texas,Travis,True,2687,1442,False,0,0,False,False,False,False,False,False,11.1,118906,False,True,False,True,False,False,False,False,0,1689.76736268494,0,0,190.636574425327,0,1689.76736268494,0.628867645212111,190.636574425327,0.070947738900382,284.149390199687,0.10574968001477,235.875937165226,0.087784122502876,1541.97189388982,0.573863749121634,31.6212463118135,0.011768234578271,40.2287797119061,0.014971633685116,3.00000005960464,0.001116486810422,5.5727002415806,0.002073948731515,67.3727494339982,0.025073594876814,151.747394524049,0.056474653711965,97.4956542351283,0.067611410703972,54.1675285195524,0.037564166795806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,441,356,2400,84,63,3,13,124,289,265,103
48453000302,Texas,Travis,True,4939,2869,False,39,0.0078963,False,True,False,False,False,True,26,94440,False,True,False,True,False,False,False,False,0,923.768150776624,0,0,299.282340478152,0,923.768150776624,0.187035462801503,299.282340478152,0.060595736075755,68.95073287189,0.013960464238083,38.6279524024575,0.007821006763,817.391527727246,0.165497373502176,13.9692797139286,0.002828361958682,25.9719111155718,0.005258536366789,0.388018876314163,0.000078562234524,2.90055252611637,0.000587275263437,63.1468720491975,0.012785355749989,129.946662843227,0.026310318453782,69.0362972524017,0.024062843238899,13.5038565467111,0.004706816502862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1857,458,229,4079,91,424,3,20,322,620,341,75
48453000304,Texas,Travis,True,3045,1537,False,24,0.0078818,False,True,False,True,True,True,28.3,91250,False,True,False,True,False,False,False,True,0,2734.63898299564,0,0,1350.08818651299,0,2734.63898299564,0.898075199670163,1350.08818651299,0.443378714782592,264.003525986932,0.086700665348746,98.9450661241207,0.032494274589202,2229.8766372794,0.732307598449723,91.7379118967273,0.030127393069533,158.023436343522,0.051896038208054,2.00000000463023,0.000656814451439,13.6588051560738,0.004485650297561,239.342181386171,0.078601701604654,549.044570096099,0.180310203644039,137.953582183909,0.089755095760513,110.539041445099,0.071918699704033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1674,291,113,2458,114,182,2,15,274,630,144,117
48453000305,Texas,Travis,True,3223,1777,False,0,0,True,True,True,False,False,True,23.1999999999999,97992,True,True,True,True,True,False,False,False,724.674576178193,2816.73241895512,724.674576178193,308.719549335539,1085.68853192458,308.719549335539,2816.73241895512,0.873947384100255,1085.68853192458,0.336856510060375,222.635125441689,0.069076985864626,108.169635331484,0.033561785706325,2495.14926841978,0.774169800936947,43.5731889766175,0.013519450504691,92.5231353682336,0.028707147182201,0,0,13.4307411750778,0.004167155189289,172.056070037651,0.053383825639979,364.710018254098,0.113158553600403,88.2527610181364,0.049663906031591,86.4327513541254,0.048639702506542,724.674576178193,0.224844733533414,308.719549335539,0.095786394457195,29.4787069559097,0.009146356486475,24.6441270629875,0.007646331698103,635.591097146272,0.197204808298564,14.7268727514892,0.00456930584905,18.6651016566902,0.005791219874865,0,0,5.37793910503387,0.00166861281571,50.3135670926421,0.015610787183569,121.229224301874,0.037613783525248,26.8156282389536,0.015090392931319,22.4442812614142,0.012630434024431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215,247,118,2823,54,131,0,18,197,426,112,102
48453000306,Texas,Travis,True,2697,1188,False,21,0.0077864,False,False,False,False,True,False,17.1,90000,False,True,False,True,False,False,False,True,0,2381.40403968095,0,0,612.547224760055,0,2381.40403968095,0.882982587942513,612.547224760055,0.227121699948111,538.972779834643,0.199841594302797,73.195353991352,0.027139545417631,1704.58561977744,0.632030263172948,190.417695522308,0.070603520772083,176.391225807368,0.065402753358312,3.99999988079071,0.00148312935884,20.089530147612,0.007448843213798,285.919957825914,0.106014074091922,729.453773997724,0.270468585093706,107.084101624786,0.090138132680797,90.2865949748083,0.075998817318862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,591,78,1925,207,197,4,23,341,847,153,129
48453000307,Texas,Travis,True,1707,771,False,3,0.0017575,False,True,False,False,False,True,25.5,75260,False,True,False,True,False,False,False,False,0,575.830618349835,0,0,222.619447178207,0,575.830618349835,0.337334867223102,222.619447178207,0.130415610532049,103.029305910225,0.060356945465862,42.2185804795008,0.024732618910077,458.673696301877,0.268701638138182,36.5119030922651,0.021389515578363,9.33018488436937,0.005465837659267,1,0.000585823081429,2.24944607540965,0.001317777431406,68.0653891926631,0.039874276035538,122.658170752227,0.071855987552564,20.3832610038225,0.02643743320859,37.8546273981919,0.049098090010625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,279,133,1333,145,30,1,5,193,349,63,117
48453000401,Texas,Travis,True,3574,1730,False,195,0.0545607,False,True,False,False,False,True,25.1,110357,False,True,False,True,False,False,False,False,0,894.013408131897,0,0,651.947058003395,0,894.013408131897,0.250143650848321,651.947058003395,0.182413838277391,16.7886354289948,0.004697435766367,9.03898867499083,0.002529095879964,582.087480098009,0.162867230021827,25.2994700670242,0.007078754915228,206.031356753315,0.057647273853754,0,0,2.53532798215746,0.000709381080626,78.0597644932568,0.021841008531969,144.664909113198,0.040477031089311,58.7327569191693,0.033949570473508,12.7191002008039,0.007352081040927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306,254,148,2732,131,443,0,11,257,445,136,49
48453000402,Texas,Travis,True,2606,1267,False,173,0.0663853,False,False,False,False,False,True,19.3999999999999,52019,False,False,False,False,False,False,False,False,0,289.066811501979,0,0,133.804778084158,0,289.066811501979,0.1109235654267,133.804778084158,0.051344887983177,39.2363676205277,0.015056165625682,37.8864919058978,0.014538178014543,150.110440209507,0.057601857332889,94.4968315213918,0.036261255380427,4.41788351163268,0.001695273795715,0,0,0.926398523151875,0.000355486770204,39.115261003375,0.015009693401142,63.5706549361348,0.024393958148939,7.86991892941296,0.00621145929709,13.2433498110622,0.010452525502022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,277,349,1631,595,59,1,16,304,552,66,134
48453000500,Texas,Travis,True,4518,2540,False,77,0.0170429,False,True,False,True,True,True,38.7999999999999,71974,False,True,False,True,False,False,False,True,0,1612.34869307279,0,0,890.49275874719,0,1612.34869307279,0.356872220688977,890.49275874719,0.197098884184858,142.053583640605,0.031441696246261,62.4851423949003,0.013830266134329,1365.99344035983,0.302344718981813,32.4323385274037,0.007178472449625,115.036483429372,0.025461815721419,1,0.000221336874723,7.32268814276903,0.001620780908094,90.563748604618,0.020045097079375,178.544109959155,0.039518395298618,102.002173073589,0.040158335855744,16.398760988377,0.006456205113534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2549,251,140,3680,70,471,4,22,271,545,286,46
