CensusTract,State,County,Urban,POP2010,OHU2010,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20
48453000101,Texas,Travis,True,3611,1815,False,False,False,False,False,8,109429,False,True,False,True,False,False,False
48453000102,Texas,Travis,True,2552,1081,False,False,False,False,False,3.6,195592,True,True,True,True,True,False,False
48453000203,Texas,Travis,True,1546,735,False,True,False,False,True,30.3,84167,False,True,False,True,False,False,False
48453000204,Texas,Travis,True,3009,1596,False,True,False,False,True,20.6999999999999,106250,False,True,False,True,False,False,False
48453000205,Texas,Travis,True,3394,1996,False,False,False,False,False,15.1,101196,False,True,False,True,False,False,False
48453000206,Texas,Travis,True,2687,1442,False,False,False,False,False,11.1,118906,False,True,False,True,False,False,False
48453000302,Texas,Travis,True,4939,2869,False,True,False,False,True,26,94440,False,True,False,True,False,False,False
48453000304,Texas,Travis,True,3045,1537,False,True,False,True,True,28.3,91250,False,True,False,True,False,False,False
48453000305,Texas,Travis,True,3223,1777,True,True,True,False,True,23.1999999999999,97992,True,True,True,True,True,False,False
48453000306,Texas,Travis,True,2697,1188,False,False,False,False,False,17.1,90000,False,True,False,True,False,False,False
48453000307,Texas,Travis,True,1707,771,False,True,False,False,True,25.5,75260,False,True,False,True,False,False,False
48453000401,Texas,Travis,True,3574,1730,False,True,False,False,True,25.1,110357,False,True,False,True,False,False,False
48453000402,Texas,Travis,True,2606,1267,False,False,False,False,True,19.3999999999999,52019,False,False,False,False,False,False,False
48453000500,Texas,Travis,True,4518,2540,False,True,False,True,True,38.7999999999999,71974,False,True,False,True,False,False,False
48453000601,Texas,Travis,True,9207,433,True,True,True,False,True,74.0999999999999,14777,True,True,True,True,True,False,False
48453000603,Texas,Travis,True,7793,3236,False,True,False,True,True,84.5,10929,False,True,False,True,False,False,False
48453000604,Texas,Travis,True,6496,2164,False,True,False,True,True,81.5,7083,False,True,False,True,False,False,False
48453000700,Texas,Travis,True,1339,717,False,False,False,False,False,17.8999999999999,118750,False,True,False,True,False,False,False
48453000801,Texas,Travis,True,1498,550,False,True,False,False,True,19.3,44531,False,True,False,True,False,False,False
48453000802,Texas,Travis,True,3067,1122,False,True,False,False,True,48.5,24125,False,True,False,True,False,False,False
48453000803,Texas,Travis,True,2429,975,False,True,False,False,True,16,58594,False,True,False,True,False,False,False
48453000804,Texas,Travis,True,2295,909,True,True,True,True,True,43.2,30625,True,True,True,True,True,False,False
48453000901,Texas,Travis,True,2027,791,True,True,True,False,True,20.1,44773,True,True,True,True,True,False,False
48453000902,Texas,Travis,True,5413,1926,False,True,False,True,True,30.1999999999999,36148,False,True,False,True,False,False,False
48453001000,Texas,Travis,True,3656,1501,True,True,True,True,True,22.5,47250,True,True,True,True,True,False,False
48453001100,Texas,Travis,True,5512,3113,False,False,False,False,False,13.6,250000,False,True,False,True,False,False,False
48453001200,Texas,Travis,True,3836,2426,False,False,False,False,False,8.69999999999999,104120,False,False,False,False,False,False,False
48453001303,Texas,Travis,True,2871,1611,False,False,False,False,False,11.1,108589,True,True,True,True,True,False,False
48453001304,Texas,Travis,True,3614,1910,False,False,False,False,False,8.6,97500,True,True,True,True,True,False,False
48453001305,Texas,Travis,True,5488,2685,False,True,False,True,True,23.3,75385,False,True,False,True,False,False,False
48453001307,Texas,Travis,True,3512,1745,False,True,False,True,True,25.8,60521,False,True,False,True,False,False,False
48453001308,Texas,Travis,True,2670,1273,False,True,False,False,True,18.1999999999999,56625,False,True,False,True,False,False,False
48453001401,Texas,Travis,True,2981,1733,False,False,False,False,False,11.8,107171,False,True,False,True,False,False,False
48453001402,Texas,Travis,True,2499,1317,False,False,False,False,False,12.3,91719,False,True,False,True,False,False,False
48453001403,Texas,Travis,True,1490,720,False,True,False,False,True,15.1999999999999,56645,False,True,False,True,False,False,False
